,Words,Frequency
443,sure,210
444,currently,210
445,opposition,210
446,adding,209
447,15,209
448,Bus,208
449,maintenance,208
450,concerned,208
451,multiple,207
452,encourage,207
453,weather,206
454,210,206
455,weekends,206
456,said,205
457,care,205
458,similar,204
459,longer,204
460,running,204
461,destructive,204
462,destroying,203
463,tram,203
464,tourist,203
465,worse,201
466,tried,201
467,close,201
468,trail,199
469,Great,199
470,study,198
471,destruction,198
472,Zion,198
473,eye,196
474,500,195
475,general,194
476,goes,194
477,dollar,194
478,significantly,194
479,ones,193
480,worth,193
481,hike,192
482,overall,192
483,hard,188
484,trails,187
485,wrong,187
486,required,187
487,owners,186
488,avid,186
489,save,186
490,crowded,186
491,bring,186
492,developers,185
493,irresponsible,185
494,necessary,185
495,person,185
496,efficient,184
497,looking,183
498,effect,183
499,pockets,183
500,development,183
501,conditions,183
502,economic,183
503,recreate,182
504,past,182
505,worst,182
506,visit,182
507,control,182
508,climber,181
509,uses,181
510,busing,180
511,lands,179
512,limiting,179
513,sore,179
514,spots,178
515,different,177
516,poor,177
517,train,177
518,government,176
519,happen,176
520,directly,176
521,example,174
522,individuals,174
523,risk,174
524,rail,173
525,corporations,172
526,outside,172
527,seasons,172
528,choose,172
529,burden,171
530,tourism,171
531,reducing,170
532,ticket,170
533,usage,170
534,exist,170
535,decrease,169
536,improvements,168
537,mobility,168
538,allowed,168
539,climb,167
540,data,165
541,urge,165
542,negatively,165
543,carpool,165
544,purpose,164
545,friendly,164
546,impactful,164
547,unnecessary,164
548,systems,164
549,power,163
550,locations,163
551,takes,162
552,hubs,162
553,affect,161
554,highway,161
555,salt,161
556,mitigation,161
557,coming,161
558,financial,161
559,popular,161
560,financially,160
561,final,160
562,clearly,160
563,offer,160
564,FEIS,160
565,greater,160
566,disappointed,159
567,deal,159
568,personal,159
569,viable,159
570,country,159
571,prefer,158
572,riding,158
573,State,157
574,boulders,156
575,attraction,156
576,maybe,156
577,value,156
578,main,155
579,provides,155
580,corporate,154
581,ugly,154
582,noise,154
583,open,154
584,boondoggle,154
585,plans,153
586,Valley,153
587,rest,152
588,operate,152
589,generations,152
590,higher,152
591,National,152
592,potential,151
593,primarily,151
594,writing,151
595,works,150
596,investment,150
597,greatly,150
598,Buses,150
599,result,149
600,Additionally,148
601,resource,148
602,improving,148
603,and/or,148
604,groups,148
605,reduced,147
606,impacted,147
607,Final,147
608,flow,147
609,horrible,146
610,fiscally,146
611,incentives,146
612,opportunity,146
613,meet,146
614,6,146
615,roadway,145
616,thought,145
617,points,145
618,states,145
619,simple,145
620,select,144
621,accessible,144
622,traction,144
623,growth,143
624,appreciate,143
625,neighborhoods,142
626,matter,142
627,surrounding,142
628,living,142
629,obvious,142
630,serving,141
631,visitor,141
632,thousands,141
633,responsible,140
634,property,140
635,pristine,140
636,management,140
637,focus,140
638,ruining,139
639,reasonable,139
640,true,139
641,situation,138
642,space,138
643,foot,138
644,order,138
645,cut,138
646,clean,138
647,numbers,138
648,80,137
649,following,137
650,irreversible,137
651,measures,137
652,taken,137
653,Service,136
654,worked,136
655,M,136
656,easily,135
657,40,135
658,today,135
659,goal,134
660,La,134
661,gain,134
662,implementation,133
663,invest,133
664,priority,133
665,added,132
666,allowing,132
667,owned,132
668,accommodate,131
669,heard,131
670,alter,131
671,heavy,131
672,expand,131
673,period,131
674,lack,131
675,lives,130
676,Enhanced,130
677,bike,130
678,easier,129
679,level,129
680,hiker,129
681,daily,129
682,handle,128
683,creating,128
684,sustainable,128
685,Parking,128
686,voice,128
687,shuttles,128
688,fails,127
689,dispersed,127
690,couple,127
691,revenue,126
692,easy,126
693,nt,125
694,trailhead,125
695,riders,125
696,destroyed,125
697,larger,125
698,income,125
699,LLC,124
700,left,124
701,happens,124
702,providing,124
703,analysis,124
704,fall,124
705,unique,124
706,frequently,124
707,addressed,123
708,national,123
709,primary,123
710,portion,123
711,ago,123
712,occupancy,123
713,dedicated,123
714,certainly,122
715,greed,122
716,Boulevard,121
717,average,121
718,extra,120
719,effort,120
720,changing,120
721,profits,120
722,express,119
723,harm,119
724,push,119
725,wild,119
726,reliability,119
727,expansion,118
728,moved,118
729,speed,118
730,highly,118
731,turn,118
732,read,118
733,Millcreek,118
734,morning,118
735,maintain,118
736,involved,117
737,bikers,117
738,probably,117
739,working,117
740,solving,117
741,tag,117
742,wilderness,117
743,Instead,116
744,scar,114
745,ask,114
746,bouldering,114
747,related,114
748,ideas,114
749,kind,113
750,safe,113
751,Use,113
752,mitigate,113
753,route,112
754,handful,112
755,case,112
756,politicians,111
757,stated,111
758,regular,111
759,cables,111
760,ecosystem,111
761,implementing,111
762,enforcement,110
763,multi,110
764,budget,110
765,children,110
766,enter,110
767,structures,110
768,closed,109
769,utilize,109
770,certain,109
771,spaces,109
772,form,108
773,faster,108
774,utah,108
775,miles,108
776,waiting,108
777,Europe,108
778,fair,108
779,folks,108
780,privately,107
781,Pine,107
782,scenery,107
783,health,107
784,actual,107
785,comes,107
786,mistake,107
787,200,106
788,Mayor,106
789,35,106
790,effects,106
791,convenient,106
792,hand,106
793,garage,105
794,operating,105
795,tickets,105
796,chosen,105
797,preserving,104
798,decades,104
799,affordable,104
800,total,104
801,mind,104
802,set,104
803,skied,104
804,25,104
805,information,103
806,S.R.,103
807,solved,103
808,totally,103
809,Gondolas,103
810,preservation,103
811,flexible,103
812,created,103
813,entities,102
814,sighted,102
815,face,102
816,old,102
817,course,102
818,nearly,102
819,gear,102
820,Traffic,101
821,mass,101
822,precious,101
823,expanding,101
824,appears,101
825,communities,100
826,widen,100
827,difficult,100
828,complete,100
829,employees,100
830,crowds,100
831,wonder,100
832,avoid,100
833,customers,100
834,equitable,99
835,share,99
836,Caille,99
837,UT,99
838,vast,99
839,incredibly,99
840,feet,99
841,restrictions,99
842,county,98
843,White,98
844,600,98
845,plus,98
846,supporting,98
847,charging,98
848,human,98
849,benefiting,98
850,town,97
851,tires,97
852,slow,97
853,alta,97
854,enormous,96
855,growing,96
856,source,96
857,neighborhood,96
858,lifts,96
859,trip,96
860,passengers,95
861,weekend,95
862,initial,95
863,habitat,95
864,ability,95
865,minimal,95
866,exists,95
867,gets,95
868,method,95
869,location,94
870,aesthetics,94
871,provided,94
872,Forest,94
873,account,94
874,job,94
875,2050,94
876,damaging,94
877,7,94
878,middle,94
879,extreme,93
880,scale,93
881,families,93
882,wasatch,93
883,outdoors,93
884,definitely,93
885,emissions,93
886,mandatory,93
887,planning,93
888,Works,93
889,scenic,92
890,ultimately,92
891,limits,92
892,corruption,92
893,addressing,92
894,step,92
895,light,91
896,detrimental,91
897,questions,91
898,biggest,91
899,citizen,91
900,laws,91
901,wanted,91
902,subsidize,90
903,efforts,90
904,voter,90
905,estimated,90
906,recent,90
907,runs,90
908,willing,89
909,disagree,89
910,hundreds,89
911,ease,89
912,stuck,89
913,week,89
914,Building,89
915,decisions,89
916,opportunities,88
917,designed,88
918,Maybe,88
919,destination,88
920,sound,88
921,disrupt,88
922,causing,88
923,biking,88
924,seeing,88
925,regardless,88
926,8,88
927,passenger,88
928,Public,88
929,interested,88
930,parks,88
931,west,87
932,patrons,87
933,2022,87
934,Thanks,87
935,imagine,87
936,practical,87
937,remove,87
938,Listen,87
939,incredible,86
940,installation,86
941,utilized,86
942,fewer,86
943,unacceptable,86
944,affected,86
945,Wilson,86
946,giant,86
947,action,85
948,proposals,85
949,Tax,85
950,reliable,85
951,visitation,85
952,operation,84
953,includes,84
954,design,84
955,intrusive,84
956,visiting,84
957,warming,84
958,Furthermore,84
959,ruined,84
960,install,84
961,reduction,84
962,greedy,84
963,increases,84
964,grew,83
965,earth,83
966,bigger,83
967,ignored,83
968,entry,83
969,present,83
970,lead,83
971,wish,83
972,appropriate,83
973,amounts,83
974,forced,82
975,spoken,82
976,Tolling,82
977,requires,82
978,estimates,82
979,volume,82
980,friends,82
981,found,82
982,eliminate,82
983,rides,82
984,fraction,81
985,strong,81
986,question,81
987,unsightly,81
988,beneficial,81
989,wind,81
990,mean,81
991,energy,81
992,gas,81
993,enjoyed,81
994,particularly,81
995,hold,80
996,included,80
997,mar,80
998,sad,80
999,heavily,80
1000,reality,80
1001,caused,80
1002,ensure,80
1003,accessing,80
1004,shown,80
1005,proven,79
1006,estimate,79
1007,percentage,79
1008,incentivize,79
1009,cog,79
1010,hate,79
1011,tell,79
1012,got,79
1013,Resorts,79
1014,supports,79
1015,possibly,79
1016,prices,79
1017,site,79
1018,specific,79
1019,ground,78
1020,stay,78
1021,amazing,78
1022,effectively,78
1023,allows,78
1024,Having,78
1025,greatest,78
1026,snowfall,78
1027,protected,78
1028,minute,78
1029,narrow,78
1030,drastic,77
1031,potentially,77
1032,personally,77
1033,Yes,77
1034,forest,77
1035,hear,77
1036,Transportation,77
1037,remain,77
1038,homes,77
1039,tall,77
1040,9400,77
1041,character,76
1042,thinking,76
1043,kids,76
1044,booth,76
1045,shed,76
1046,dangerous,76
1047,type,76
1048,officials,76
1049,explored,76
1050,happy,75
1051,political,75
1052,list,75
1053,reach,75
1054,scope,75
1055,carry,75
1056,mainly,75
1057,sounds,75
1058,heart,75
1059,creates,75
1060,direct,75
1061,helps,75
1062,expected,75
1063,pick,75
1064,aesthetic,75
1065,activity,74
1066,ahead,74
1067,compared,74
1068,Electric,74
1069,fragile,74
1070,justify,74
1071,frequency,74
1072,board,74
1073,listening,73
1074,feasible,73
1075,improvement,73
1076,thank,73
1077,planned,73
1078,key,73
1079,ridership,73
1080,basis,73
1081,animals,73
1082,parts,73
1083,pushing,73
1084,Stop,73
1085,levels,73
1086,global,72
1087,sit,72
1088,literally,72
1089,avalanches,72
1090,seriously,72
1091,statement,72
1092,history,72
1093,corrupt,72
1094,started,72
1095,B.,72
1096,force,72
1097,room,72
1098,requirements,72
1099,fast,71
1100,claims,71
1101,helping,71
1102,safer,71
1103,early,71
1104,simpler,71
1105,represent,71
1106,2021,71
1107,tower,70
1108,manage,70
1109,associated,70
1110,feels,70
1111,cable,70
1112,slopes,70
1113,sport,69
1114,GW,69
1115,raised,69
1116,grab,69
1117,proceed,69
1118,presented,69
1119,footprint,69
1120,absurd,69
1121,commute,69
1122,changed,69
1123,explore,69
1124,ignoring,69
1125,specifically,69
1126,man,69
1127,smaller,69
1128,trees,69
1129,methods,69
1130,welfare,69
1131,shows,68
1132,correct,68
1133,prior,68
1134,supply,68
1135,length,68
1136,equipment,68
1137,tunnel,68
1138,closures,68
1139,reading,68
1140,overwhelming,68
1141,voices,68
1142,inflation,67
1143,south,67
1144,longest,67
1145,expect,67
1146,incentive,67
1147,phase,67
1148,rate,67
1149,accidents,67
1150,loss,67
1151,sites,67
1152,mile,67
1153,flexibility,67
1154,stupid,66
1155,school,66
1156,stations,66
1157,company,66
1158,driver,66
1159,Look,66
1160,drop,66
1161,>,66
1162,projected,66
1163,quickly,66
1164,Environmental,66
1165,decided,65
1166,storm,65
1167,terrain,65
1168,food,65
1169,prevent,65
1170,entirely,65
1171,"2,500",65
1172,elite,65
1173,Plus,65
1174,double,65
1175,buy,65
1176,mess,65
1177,law,64
1178,fill,64
1179,destinations,64
1180,saying,64
1181,60,64
1182,restrict,64
1183,Brighton,64
1184,designated,64
1185,wheel,64
1186,direction,64
1187,video,64
1188,Build,64
1189,heads,64
1190,percent,64
1191,immediately,64
1192,says,63
1193,monstrosity,63
1194,meant,63
1195,attempt,63
1196,eventually,63
1197,Limit,63
1198,delays,63
1199,owner,63
1200,Ikon,63
1201,overcrowding,63
1202,wider,63
1203,lose,63
1204,propose,63
1205,unfair,63
1206,critical,63
1207,placed,62
1208,Better,62
1209,contribute,62
1210,saving,62
1211,crowding,62
1212,occur,62
1213,continues,62
1214,concept,62
1215,chance,62
1216,attract,62
1217,adequate,62
1218,begin,62
1219,goals,62
1220,driven,62
1221,approved,61
1222,Busses,61
1223,recreating,61
1224,regularly,61
1225,strategies,61
1226,skis,61
1227,approve,61
1228,traveling,61
1229,gone,61
1230,soon,61
1231,draw,61
1232,winds,61
1233,decide,61
1234,research,61
1235,beloved,60
1236,periods,60
1237,sake,60
1238,disaster,60
1239,shut,60
1240,entrance,60
1241,solves,60
1242,installing,60
1243,sports,60
1244,beneficiaries,60
1245,danger,60
1246,respect,60
1247,lifelong,60
1248,solely,60
1249,schedule,60
1250,®,60
1251,alternate,60
1252,starting,60
1253,harmful,60
1254,afternoon,60
1255,range,60
1256,WANT,60
1257,pretty,59
1258,studies,59
1259,technology,59
1260,positive,59
1261,construct,59
1262,native,59
1263,federal,59
1264,guests,59
1265,realize,59
1266,jams,59
1267,members,59
1268,selected,59
1269,Finally,59
1270,shorter,59
1271,iconic,59
1272,adamantly,59
1273,awful,59
1274,uphill,59
1275,Increased,59
1276,flawed,59
1277,house,58
1278,giving,58
1279,despite,58
1280,tunnels,58
1281,Increase,58
1282,reserved,58
1283,absolute,58
1284,ignore,58
1285,responsibility,58
1286,served,58
1287,publicly,58
1288,self,58
1289,storms,58
1290,upper,58
1291,udot,58
1292,downhill,58
1293,paths,58
1294,entering,58
1295,commercial,58
1296,carrying,57
1297,win,57
1298,sustainability,57
1299,numerous,57
1300,s,57
1301,Taxpayers,57
1302,red,57
1303,operations,57
1304,heights,57
1305,logical,57
1306,east,57
1307,holders,57
1308,footing,57
1309,looks,56
1310,submitted,56
1311,mode,56
1312,firmly,56
1313,head,56
1314,deeply,56
1315,constructed,56
1316,scalable,56
1317,privileged,56
1318,walk,56
1319,relatively,56
1320,ecosystems,56
1321,enjoyment,56
1322,wanting,56
1323,earlier,56
1324,hill,56
1325,conclusion,56
1326,Save,55
1327,individual,55
1328,desire,55
1329,fine,55
1330,lost,55
1331,known,55
1332,safely,55
1333,solitude,55
1334,Jenny,55
1335,loved,55
1336,ruins,55
1337,guys,55
1338,destroys,55
